DISCORD TAG,IN-GAME NAME,HIGHEST RANK REACHED (last 3 seasons),ROCKET LEAGUE TRACKER LINK,Rank Range Value,RL Tracker Peak Value,S3 Player Rating,S4 Draft Player Rating (range),S4 Draft Player Rating (peak)
Jelp#0013,Jelp,Grand Champion I (1535-1652),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198311208566/overview,1435,,0,1435,0
ambrosia#8776,ambrosia,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198325466976/overview,1864,1841,136.6727,2000.6727,1977.6727
Cw | Pretty#1337,CW | Pretty,Champion II (1195-1314),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198048224765/overview,1195,1148,69.9185,1264.9185,1217.9185
Joan#6969,Joan,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198143621329/overview,1435,,79.5821,1514.5821,79.5821
Saber#5031,Saber,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/epic/śabęr./overview,1575,,92.0578,1667.0578,92.0578
 Jes.Ta (Jesse)#0638,Jes.Ta,Champion III (1315-1434),https://rocketleague.tracker.network/profile/steam/76561197964604487,1315,1407,0,1315,1407
Sobes#6911,Sobes,Champion I (1075-1194),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198840882714/overview,1075,1023,0,1075,1023
TrevorG#0386,TrevorG,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199053212084/overview,1315,1364,73.3157,1388.3157,1437.3157
Mjck#0109,Mjck,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/epic/itsmjck/overview,1711,,96.6543,1807.6543,96.6543
Sonny#6449,Sonny,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198121508847/overview,1575,1584,84.0002,1659.0002,1668.0002
dinger#4226,dinger022,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/xbl/Dinger022/overview,1315,1438,54.4546,1369.4546,1492.4546
Benny#9996,benny,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198076092428/overview,1435,1504,77.2509,1512.2509,1581.2509
Kharon#0001,Kharon,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198135247572/overview,1575,1619,82.2713,1657.2713,1701.2713
Delephant#2402,Delephant,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198047988955/overview,1435,1545,99.5819,1534.5819,1644.5819
Bruh.com#4017,Bruh.net,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198101310932/mmr?playlist=10,1315,1254,76.6182,1391.6182,1330.6182
Wubik#0147,Wubik,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199084734339/overview,1575,1647,90.1436,1665.1436,1737.1436
Mexi#5525,Mexi,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198293474733/overview,1711,,114.9603,1825.9603,114.9603
Dicey #8675,Dicey,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198287455361/overview,1435,1545,120.0503,1555.0503,1665.0503
Calster#3514,Calster,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198059743159/overview,1711,,112.5869,1823.5869,112.5869
Invy5650,invy,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198114496943/overview,1435,,83.1887,1518.1887,83.1887
TourneyEarnie#2635,TourneyEarnie,Champion I (1075-1194),https://rocketleague.tracker.network/rocket-league/profile/epic/TourneyEarnie/overview,1075,,42.2133,1117.2133,42.2133
PCMcD#3758,PCMcD,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198040589211/overview,1711,1724,121.0884,1832.0884,1845.0884
Veltri#4214,Veltri,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198855702736/overview,1711,1817,109.0083,1820.0083,1926.0083
Reg#1978,Reg,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/epic/Queg/overview,1711,,93.078,1804.078,93.078
mysterio#8773,Mysterio,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199049394034/overview,1435,,39.1729,1474.1729,39.1729
Zer0Vibes#2651,Zer0Vibes,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198052961263/overview,1435,,78.1806,1513.1806,78.1806
SlowHandsMcGee#3341,SlowHandsMcGee,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198046607227/overview,1864,1847,113.605,1977.605,1960.605
Grape#8257,Grape,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199087611826/overview,1711,1724,83.9852,1794.9852,1807.9852
Chikn#8398,Chikn,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/epic/Chiknrl/overview,1864,,129.7215,1993.7215,129.7215
Tero#1644,Tero,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198115574246/overview,1575,1702,100.2739,1675.2739,1802.2739
Onion#2135,Onion,Champion II (1195-1314),https://rocketleague.tracker.network/rocket-league/profile/epic/fiercehawk816/mmr?playlist=13,1195,,60.1853,1255.1853,60.1853
H-Town#7242,H-Town,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198414527131/overview,1315,,79.708,1394.708,79.708
RadmanRL#9104,Radman,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198314040494/overview,1711,1755,115.0183,1826.0183,1870.0183
QUIKHorizon#0280,QUIKHorizon,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/xbl/QUIK%20Horizon/overview,1315,,64.665,1379.665,64.665
mako#2724,mako,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198114822701/overview,1864,1934,109.644,1973.644,2043.644
Derreck#7735,Derreck,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/epic/i%20am%20the%20frogman/overview,1315,,52.9643,1367.9643,52.9643
Conundrum Effect#8245,Conundrum Effect,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198046497433/overview,1711,1755,99.4178,1810.4178,1854.4178
HereticChimera#4203,HereticChimera,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198179654022/overview,1315,,72.3504,1387.3504,72.3504
Berf#0101,Berf,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198114254618/overview,1575,1671,94.5875,1669.5875,1765.5875
ren#7166,renbo,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198123484481/overview,1435,,0,1435,0
Lege#1344,Lege,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198397509094/overview,1575,,73.6513,1648.6513,73.6513
Vespid#6425,Vespid,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198129661324/overview,1435,,63.2415,1498.2415,63.2415
Thermal#7986 ,Thermal,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198070282536/overview,1711,1766,120.5674,1831.5674,1886.5674
Tjack#0001,Tjack,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198241414868/overview,1575,1624,100.9392,1675.9392,1724.9392
SleevelessKen#2101,SleevelessKen,Diamond III (993-1074),https://rocketleague.tracker.network/rocket-league/profile/steam/76561197961363985/,993,,29.2292,1022.2292,29.2292
ryker#1000,ryker,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198156546492/overview,1864,1877,0,1864,1877
tibbles#2528,Tibbles,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198069800351/overview,1435,,69.66,1504.66,69.66
zzilmy#3331,zzilmy,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/epic/zzilmy/overview,1435,,0,1435,0
tkd247#0960,Tkd247,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198035700504/overview,1711,1733,83.0739,1794.0739,1816.0739
Zodak#6183,Zodak,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198320013404/overview,1711,1748,0,1711,1748
Chazzi#7731,Chazzi,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198087021889/overview,1864,1989,110.0268,1974.0268,2099.0268
Prussia#8855,Prussia,Grand Champion II (1575-1710),https://rocketleague.tracker.network/,1575,1693,83.4882,1658.4882,1776.4882
1ord#5249,Lord,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198986689216/overview,1575,,0,1575,0
Toast#5729,Toast,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199060876856/overview,1575,,72.2086,1647.2086,72.2086
Colbs DC#2514,Colbs DC,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/epic/ColbsDC/overview,1711,,94.4461,1805.4461,94.4461
Papo#7963,Papo,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198262043140/overview  //  https://rocketleague.tracker.network/rocket-league/profile/psn/papomuriel/overview,1575,,0,1575,0
Elephant#5072,Elephant,Grand Champion III (1711-1863),https://steamcommunity.com/id/MrElephantRL/,1711,1729,77.3792,1788.3792,1806.3792
Wastee#8640,Wastee,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/epic/SweetWolf689/overview,1435,,79.8795,1514.8795,79.8795
MateItsnate#6615,MateItsNate,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198297490363/overview,1575,,102.9982,1677.9982,102.9982
