League,Player,Games,Game Win %,Z-Nonstandard points per game,Z-Goals per game,Z-Assists per game,Z-Saves per game,Z-Shots per game,Rating Points,Rating Rank
clmn 1,iChaotic,58,82.8%,0.8887,2.7677,1.4794,-0.8934,2.7016,142.4829,1
mncs,ambrosia,72,50.0%,2.0128,1.2142,0.4032,0.4288,1.4260,136.6727,1
mncs,PaulyB,64,64.1%,0.9692,1.1816,0.4163,0.7152,1.4578,131.9927,2
mncs,zbruh_rl,47,66.0%,1.3288,0.9507,0.9104,0.4366,0.9165,131.5314,3
mncs,Wildcat,55,58.2%,1.2291,0.9700,0.6842,0.7621,1.0923,130.4692,4
mncs,Chikn,57,57.9%,1.4766,1.1387,0.3232,0.8147,1.1419,129.7215,5
mncs,lucid,52,50.0%,0.7968,0.3014,0.7700,1.3101,1.8609,129.6487,6
mncs,Delephant,4,75.0%,0.1486,1.0838,0.7700,0.6121,0.9814,126.5039,7
mncs,Notice,73,52.1%,0.9412,0.3550,0.5245,1.2675,1.5035,124.4079,8
mncs,North*,64,62.5%,0.6375,0.7415,0.7110,-0.1097,1.0052,123.9019,9
clmn 1,Invy,4,75.0%,1.0856,0.9974,2.0275,-0.0272,1.8582,123.4186,2
mncs,Aostine,64,53.1%,0.7813,0.9860,0.5931,-0.1612,0.7432,123.3635,10
clmn 1,PCMcD,61,83.6%,0.6388,0.7344,2.6790,-0.2283,1.1136,121.0884,3
clmn 1,Thermal,43,83.7%,0.5748,1.8183,1.4730,-0.8287,1.2599,120.5674,4
clmn 1,Dicey,61,83.6%,-0.1828,1.5760,1.3109,-0.9561,1.6968,120.0503,5
mncs,RadmanRL,69,62.3%,-0.3483,0.7210,0.8383,-0.1769,0.4512,115.0183,11
mncs,Mexi,64,54.7%,-0.2556,0.6437,0.8289,0.5090,0.4574,114.9603,12
mncs,SlowHandsMcGee,64,59.4%,0.7989,0.6926,0.2984,1.5917,0.3383,113.6050,13
