League,Season,Team Name,Match Total,Match Wins,Match Losses,Match Win %,Game Total,Game Wins,Game Losses,Game Win %,Goal Difference,Goals/Game,Std Dev Goals,Goals Against/Game,Std Dev Goals Against
clmn 1,3,Bemidji Beavers,17,8,9,47%,68,33,35,48.5%,-18,2.161764705882353,1.59,2.426470588235294,1.49
clmn 1,3,Bloomington Ursas,17,8,9,47%,69,36,33,52.2%,-12,2.1666666666666665,1.57,2.3484848484848486,1.58
clmn 1,3,Burnsville Firestorm,17,15,2,88%,63,47,16,74.6%,74,2.857142857142857,1.86,1.6825396825396826,1.46
clmn 1,3,Duluth Spirit,17,5,12,29%,67,21,46,31.3%,-44,1.7761194029850746,1.43,2.4328358208955225,1.71
clmn 1,3,Hibbing Wardens,17,7,10,41%,64,29,35,45.3%,-20,2.3934426229508197,1.70,2.721311475409836,1.49
clmn 1,3,Minneapolis Prodigies,17,6,11,35%,59,24,35,40.7%,-2,2.440677966101695,1.71,2.4745762711864407,1.53
clmn 1,3,Minnetonka Bonzers,17,9,8,53%,69,34,35,49.3%,-19,2.217391304347826,1.48,2.4927536231884058,1.79
clmn 1,3,Rochester Riff,17,17,0,100%,61,51,10,83.6%,119,3.586206896551724,1.81,1.5344827586206897,1.28
clmn 1,3,St. Cloud Soar,17,5,12,29%,65,23,42,35.4%,-53,2.107142857142857,1.10,3.0535714285714284,2.09
clmn 1,3,St. Paul Kingpins,17,5,12,29%,61,25,36,41.0%,-25,2.1454545454545455,1.62,2.6,1.60
clmn 2,3,Bemidji Cruisers,17,13,4,76%,64,45,19,70.3%,53,2.9423076923076925,2.00,1.9230769230769231,1.22
clmn 2,3,Bloomington Bruins,17,3,14,18%,61,16,45,26.2%,-81,1.8,1.21,3.272727272727273,1.81
clmn 2,3,Burnsville Embers,16,3,13,19%,53,11,42,20.8%,-41,1.7241379310344827,1.39,3.1379310344827585,1.74
clmn 2,3,Duluth Blizzard,16,1,15,6%,53,8,45,15.1%,-72,1.53125,1.56,3.78125,2.19
clmn 2,3,Hibbing Rovers,17,11,6,65%,64,39,25,60.9%,49,2.909090909090909,2.05,2.018181818181818,1.42
clmn 2,3,Minneapolis Revelation,16,10,6,63%,58,34,24,58.6%,-13,1.813953488372093,1.63,2.116279069767442,1.56
clmn 2,3,Minnetonka Royals,17,4,13,24%,57,17,40,29.8%,-14,1.875,1.56,2.4583333333333335,1.50
clmn 2,3,Rochester Rewind,17,13,4,76%,65,43,22,66.2%,22,2.3214285714285716,1.56,1.9285714285714286,1.45
clmn 2,3,St. Cloud Jets,16,13,3,81%,59,43,16,72.9%,59,2.943396226415094,1.62,1.830188679245283,1.56
clmn 2,3,St. Paul Envoy,17,12,5,71%,68,45,23,66.2%,38,2.6440677966101696,1.40,2,1.58
mncs,3,Bemidji Lumberjacks,17,6,11,35%,62,23,39,37.1%,-40,2.161290322580645,1.21,2.806451612903226,1.56
mncs,3,Bloomington Maulers,17,10,7,59%,70,37,33,52.9%,-10,2.4571428571428573,1.53,2.6,1.32
mncs,3,Burnsville Inferno,17,10,7,59%,68,37,31,54.4%,13,2.2794117647058822,1.46,2.088235294117647,1.30
mncs,3,Duluth Superiors,17,6,11,35%,62,26,36,41.9%,-20,2.152542372881356,1.41,2.4915254237288136,1.67
mncs,3,Hibbing Rangers,17,6,11,35%,68,31,37,45.6%,-29,1.9384615384615385,1.32,2.3846153846153846,1.72
mncs,3,Minneapolis Miracles,17,10,7,59%,66,37,29,56.1%,18,2.5606060606060606,1.51,2.287878787878788,1.36
mncs,3,Minnetonka Barons,17,10,7,59%,69,37,32,53.6%,20,2.5072463768115942,1.60,2.217391304347826,1.20
mncs,3,Rochester Rhythm,17,11,6,65%,66,40,26,60.6%,59,2.787878787878788,1.77,1.893939393939394,1.44
mncs,3,St. Cloud Flyers,16,6,10,38%,58,24,34,41.4%,-16,2.0689655172413794,1.44,2.3448275862068964,1.84
mncs,3,St. Paul Senators,16,9,7,56%,65,35,30,53.8%,5,2.3384615384615386,1.50,2.2615384615384615,1.41
