player_name,league_name,player true games total,s4 player rating points
1ord,clmn,49,96.56594390743132
6neb,mnrs,8,45.30333033795099
A GUZIK,mnrs,21,44.8675542151915
afleader,mnrs,12,39.85254822458482
ambrosia,mncs,64,121.81202535951236
Aostine,mncs,65,94.88987178248033
AwkSauce,clmn,24,85.97493683377851
Benny,clmn,5,99.2096599824199
Benny,mnrs,56,62.67459271882468
Berf,mncs,76,85.83662023304606
big booty crogan,mnrs,4,84.91417132236157
Blake,clmn,3,32.891337899104805
Blake,mnrs,70,70.2290592256608
Blakester,clmn,3,44.60521405300516
Blakester,mnrs,18,59.67126877093958
bomb3rrr,clmn,28,102.17400038388354
BorkRL,mncs,20,109.80816487211641
Bruh.com,clmn,7,77.03856110172143
Bruh.com,mnrs,52,67.18061584213561
Caesar,clmn,65,97.05204811208326
Caesar,mncs,14,69.84818801597132
Caleb (IntoAudacity),mnrs,40,43.751117169844775
Calster,mncs,31,112.87002800059206
Chazzi,mncs,69,105.71455511323583
cheeriojf,clmn,50,94.40896801361352
Chikn,mncs,44,127.02467092514757
Colbs DC,clmn,73,95.6855134284127
Colbs DC,mncs,4,105.00350779651458
Conundrum Effect,mncs,73,87.76793186854559
Coughiin,clmn,34,88.50158085056214
Coughiin,mncs,9,85.3432224573367
CW | Pretty,mnrs,15,19.166011570352406
Czecher,clmn,66,83.08268170664229
DarkCourier,clmn,3,78.61168004137205
DarkCourier,mnrs,42,65.47359224752323
Delephant,mnrs,58,71.17332901256495
Derek,mnrs,9,48.06880529939187
Dicey,clmn,64,83.60174157971963
Dicey,mncs,8,110.64572833647982
dinger022,clmn,21,61.978036218950834
dinger022,mnrs,46,69.11766360730319
DJCJ,mncs,53,111.18872971775964
Dragon.,mnrs,69,59.22443315483694
El Bloop,clmn,20,82.21722203146682
El Bloop,mnrs,45,73.99306765359512
Elephant,clmn,60,87.6501783401003
Elephant,mncs,7,64.74294284305154
Fatez,mnrs,47,53.05687705095739
feelsbadman,mnrs,16,47.72119779634139
Freight Cabbage,mnrs,52,59.915641758559474
FuZZy,mnrs,5,90.39208247266409
Fyre,mnrs,74,66.71532184187704
Grape,clmn,66,93.48837678243625
Grape,mncs,36,91.93871128346868
HereticChimera,clmn,25,56.309581485803
HereticChimera,mnrs,23,55.408339420363376
H-town11,clmn,10,35.82398149284567
H-town11,mnrs,55,42.32565125804337
IamGatman,mncs,38,114.08313267934899
iChaotic,mncs,15,66.50223100576505
JasonWolf,clmn,16,81.82931195831725
Jelp,clmn,17,91.53445271301398
Jelp,mncs,6,64.22571986620584
Jes.Ta (Jesse),mnrs,70,50.36849660415139
Joan,clmn,23,77.46753622429186
Joan,mnrs,38,68.34930523411658
joebrothehobo,clmn,53,90.59344863087053
Kharon,clmn,64,69.01989048890617
Kharon,mncs,8,66.91183544350622
Kye,clmn,21,106.87077796143771
Kye,mncs,41,105.61714478995088
Latumos,mncs,61,125.64174894568256
Lege,clmn,62,74.32611922325027
Lege,mncs,15,70.87091221789159
Lil BeeMan,mnrs,15,62.47734760814837
Loaded,clmn,9,81.46479064201904
Loaded,mnrs,49,53.30302887553737
lucid,mncs,55,111.2116126165471
magepiggy,clmn,14,72.03354208001167
magepiggy,mnrs,52,57.14363975516147
mako,mncs,73,106.57566043016824
MateItsNate,clmn,58,87.79849474179062
MateItsNate,mncs,3,61.166049297760736
