player_name,league_name,player game win %,player true games total,Z-Goals per average per game,Z-Assists per average per game,Z-Shots per average per game,Z-Saves per average per game,Z-Nonstandard points per average per game
Wastee,Premier,100.0%,4,0.049742947340092006,3.7860951549893707,-0.48947551073882584,-0.6700683601597224,4.14348691972047
Bubbles,Challenger,0.0%,3,-2.180517448585782,-0.662570121505301,-2.379357372463846,3.303266418983751,3.563501009585852
Obamahasmycar,Challenger,0.0%,3,0.1670375642939084,-1.948847767416386,0.10392151905364087,0.7764315231263906,3.563501009585852
Isodor,Prospect,0.0%,3,-1.9655891113650399,-2.420320678899439,-2.907089469213841,-2.54309556017408,3.360023021361292
Comix,RisingStar,40.0%,5,-0.21236540513474333,-0.33047114666090455,0.02225741318648343,1.605024881946458,2.79510303853752
Tarr,RisingStar,0.0%,3,1.1346804649620807,2.0240821309939054,2.576164558133811,-0.9513527878381459,2.218274852189445
MateItsNate,Premier,50.0%,10,-1.6433469908861753,0.28995916184142745,-0.2524393262519296,-0.07942323357003042,1.8915773827888502
SlowHandsMcGee,Premier,38.1%,21,-0.5691573558556294,-0.43019538800364937,-0.1489916727923079,-0.8286232042228219,1.8706259730367947
torvamia,Challenger,50.0%,6,-1.2052251393183817,-1.514126119274874,-0.5467226119351658,-0.582795081270215,1.8704794332720673
Stego,RisingStar,25.0%,8,1.3002941490164772,-1.4775489023104182,0.47723137702683416,-0.24893553066827834,1.809684617321135
CmbRadar,Prospect,40.6%,32,-1.050840123789206,0.13057182351744265,-1.4030600093141277,-0.3131872154689075,1.7508495681924467
panzu,RisingStar,0.0%,2,-2.3141322779988007,-2.0624587286689726,-2.2958665899395294,-1.5679403246920192,1.73009755647051
Blakester,Challenger,60.0%,5,-0.12473951472167791,-0.7596396114061708,1.1641345694814518,-1.383534732353054,1.6099587361298828
Ovven,Challenger,25.0%,4,-1.2953908381720705,2.1913584053599187,-1.4783944329858163,-0.2851255696874591,1.578779526574374
Trish,Challenger,25.0%,4,-0.41026422775835913,-1.948847767416386,0.7947349623162125,-0.2851255696874585,1.578779526574374
Linke.,RisingStar,50.0%,10,1.8251986079203104,0.735007137993706,0.7624715346041049,0.5709899234908404,1.5577589891243058
end,Challenger,0.0%,3,-1.043420489222182,-1.948847767416386,-0.06620575186117258,-0.8189143001168858,1.4589724315916757
FrenchStrudel (Im Black),Challenger,6.3%,16,-0.05310646895334787,-1.412838932548025,0.22255641330775455,0.7285808241788593,1.4154768785879868
Bruh.com,Prospect,20.0%,15,-0.03557041366859059,1.215305840928665,0.011173509048347113,1.8651262444640657,1.316372128575952
Ceij,Prospect,41.7%,24,0.11343651514535717,-0.04183305007820458,0.41229153915088157,0.3112534261635528,1.2772110094933746
DJCJ,Challenger,64.3%,28,0.14232705192465503,0.3043596048521502,1.1991587122895513,1.2247011231232359,1.2197033947268923
revo,Challenger,85.7%,7,-0.0976028658230709,1.1977267388943482,-0.32233957799121,0.7692314155157959,1.187473701400933
riotical.,RisingStar,33.3%,9,0.638244183707215,-0.1718610261272429,0.44966669174342994,-0.7176993518887531,1.1340487651996647
Freight Cabbage,Prospect,29.4%,34,0.41895923038473404,-0.038860223955175965,0.14373606084839763,1.0063468326201266,1.1210136554379935
Tibbles,RisingStar,41.7%,24,0.6326940000393407,0.3235514856483551,-0.45479814145105285,-0.6648614044363442,1.1000424487612317
FrenchStrudel (Im Black),Premier,75.0%,4,-1.6367275763733613,-0.1365145923881599,-0.5437165493122041,1.477484129908991,1.0422976000251558
DeCarlo,Premier,42.9%,21,-0.6378801418696279,-0.13589812152676292,-1.0004450925413728,-0.7868807163107623,1.0294949300353298
Ryu Protex,RisingStar,50.0%,68,0.39003242959716683,0.5080473260193427,1.0214936473729332,-0.22914142421819392,1.0211970758186701
Schmorky,RisingStar,50.0%,68,-0.18134340753906883,-0.13049927347317297,0.13142849235978843,-0.16898925536779094,1.0211970758186675
Sonny,RisingStar,50.0%,68,0.28657177866684874,0.16878988102707623,0.3658253552440312,0.40638882103676605,1.0211970758186675
Kharon,Challenger,47.2%,36,0.31108006755661727,-0.6084888135380532,0.2773182359219967,0.5927118725015309,1.0178888868938314
Notice,Premier,47.2%,36,-0.35500340536014907,-0.9658797384831147,0.0026643151626762353,1.3338489447290904,0.9961740683261433
renn,RisingStar,51.7%,60,0.9984082066545344,0.23665389445020027,1.3944964670620064,0.2653936659240545,0.9715764403970134
Tarr,Challenger,10.0%,20,-0.17818516138496712,-0.730450039970121,-0.8831222572782016,0.564496882804098,0.9709614997390859
Flow,Premier,43.6%,39,0.16442837045088107,-1.1818279100530935,0.025006141682688544,0.6154648459296242,0.9698128401717508
revo,RisingStar,50.0%,64,-0.2210419512228604,0.38173521269643856,0.08713914592887438,0.22992466765589947,0.9117527932456874
HereticChimera,Prospect,43.8%,16,0.19103371850781908,0.6601375567739484,-0.2200063354496908,-0.1738025006291112,0.9115650750147977
BeN Storm,Prospect,75.6%,45,0.6263954342628428,1.0385091786346081,0.35974315393261147,-0.4671955636883373,0.8967863256612683
Gatormelon,Prospect,75.6%,45,0.5310566513744742,0.39116594373736296,0.5949474619886398,-0.494742815932969,0.8967863256612683
H-town11,Prospect,75.6%,45,0.7802047261198183,1.7448255410220612,1.2117866963519546,-0.9802984578840528,0.8967863256612683
Blahdat,RisingStar,77.4%,31,0.9349709820383483,0.4047074936827875,1.5092929794342838,-0.764554740251399,0.8896347657374465
DarkCourier,RisingStar,50.0%,64,-0.3875564925242402,-0.15406554339822284,-0.499804028396304,-0.5079302513307151,0.8469509139227988
TheSuperPope,Premier,46.9%,32,-0.22587091341381133,0.16639972487223612,-0.08201543904468239,-0.428720966707612,0.845828113000608
Flow,Challenger,57.6%,33,1.3604883971855657,0.2191408469690952,1.6223086049572115,2.7182861754820435,0.8243866214457582
panzu,Prospect,51.4%,35,-1.0106716275450502,-0.6851836880945066,-0.9005235144570215,0.4206117262718284,0.8153192014765416
PXLTheory,Challenger,59.1%,22,1.0423113453291617,0.7922148963042082,0.7708040746799567,0.14775748837215408,0.7783930318451073
Foxxy.,Premier,55.0%,20,-0.9794235195121405,-0.32184438081685435,-1.0887583837949577,-0.7885601579362231,0.7566318013344857
Fishy,Challenger,54.0%,50,0.7758782451203214,0.3609437490436822,0.9996148636357888,0.5161038619767038,0.7562561034511817
YUMO,Prospect,50.0%,38,0.5553276007275678,-0.7230939331260893,0.3913143457043924,-0.6421548854809721,0.7512538659957961
Lege,Premier,25.0%,4,0.8418236183190538,-1.463334142211066,-0.9610174859779522,1.6687078825807367,0.739360431703084
renn,Challenger,100.0%,3,4.0400403771842415,0.9837982716334963,0.4873597962577264,0.17914282578831284,0.7376633948244171
Lord,RisingStar,78.0%,41,0.6753355760821588,1.4171705786598832,1.1936330874691403,-0.336467412008535,0.7265062482792434
Spooky,Premier,0.0%,3,-2.431057317911047,-0.9293183662764951,-1.8497235160112941,-3.5471842254707013,0.7223543818006334
zzilmy,Challenger,25.0%,8,0.3212050041921908,-1.1725591100208288,0.9406807895740313,-1.8377703923915034,0.6946560134427842
Chiefu,Prospect,42.9%,49,1.0173926437244016,1.2776167457670449,1.4338088596968213,-0.5594891050148149,0.6765921374816649
xxrage32xx,Prospect,42.9%,49,0.8688477975840271,0.020383745772773347,1.0464490376910194,1.2543293945841094,0.6765921374816649
Delephant,Challenger,25.0%,20,-0.4532235101011093,-0.3442778880646641,0.9930965293907962,-0.07144192881644044,0.6747598609036473
Tyrant,Challenger,36.0%,25,-0.04406405744557419,0.10218893192929254,0.04357361116327552,0.9715199048386537,0.6489448542054135
SholonkerZ,RisingStar,75.9%,58,1.3065703686117256,1.4550322098228947,2.2120452970997255,0.062171293665141174,0.6317011310826544
Bubbles,Prospect,21.1%,19,-0.38555924533314845,-1.545464310407959,-1.118917635567621,-0.26504071803694507,0.6167901781513478
Jives,Premier,55.4%,56,0.26491888927162455,0.06077321805989883,0.955257056785826,-0.6147845609989983,0.6136762117477574
Ovven,RisingStar,53.7%,67,0.5927128560287027,0.5354753145901957,0.3344385067496284,0.18215398116912154,0.6114771758919991
Trish,RisingStar,53.7%,67,0.2336946226810221,0.3672406201608079,0.4498210503447901,-0.3466186007307577,0.6114771758919991
Trash,Premier,38.2%,55,-0.12048906173657542,-0.5363414382257343,0.10667835762250273,-0.0626048153314711,0.6086524287451899
Trash,Challenger,64.5%,62,1.6482057454040788,0.9832891511632846,2.1363342926775344,0.10487228555582079,0.5877743628972762
Obamahasmycar,Prospect,30.8%,13,-0.34784881965454906,-1.3421392416557936,0.029584855400692084,0.04571513456786854,0.5665882957590558
Goff,Premier,53.1%,49,0.07724049143251936,0.7771601976292277,0.5737492102710839,-0.220720432247891,0.5500693690261356
CW | Pretty,Prospect,6.3%,16,-1.5879031115058382,-2.0318828316444124,-0.8609518965184658,-0.5244697793749362,0.5357465068606954
Oakwynn,Prospect,54.3%,35,0.7606487044536311,-0.0030683360014084234,0.9784339738706372,0.11519664888236973,0.5276450812501795
Double A,Prospect,14.3%,7,-0.04842975029866535,0.8197842585005594,0.10705397593403512,0.19353570617312194,0.5219589640279991
cl0wdy.,RisingStar,39.7%,58,-0.3062728615647348,0.001301421047038645,0.17145420654598306,0.16210310711208656,0.520045449952442
Mal.,RisingStar,39.7%,58,-0.08469774969833754,-0.3902637108361539,-0.6549816814814245,-0.7167695223402841,0.5200454499524393
relax,RisingStar,77.4%,53,0.6497481532284004,0.6205700780532164,1.1982638748813672,-0.5677913154436369,0.5149511769012496
Fours,Premier,47.9%,71,-0.22972245188965124,-0.12807904082264543,-0.5144743078035159,0.9455011724934171,0.5143166742689959
Spooky,Challenger,11.8%,17,-1.2707708933040442,-0.34672486905684397,-1.3108734979549925,-0.8794718368232152,0.5134545274131895
Zodak,Premier,55.2%,58,0.42420443496165544,-0.3692160782923296,0.19289669034149864,0.18053924451414288,0.5123198573144627
Comix,Prospect,37.5%,40,0.20287427586500753,0.3695859945607817,0.10536879715485528,-0.24405476957692399,0.504319722880458
Tarr,Prospect,36.8%,19,1.1500861107364717,-1.2414662415704456,0.6214243986417174,0.9693639930504431,0.5030762079917046
Tactics,Prospect,36.8%,19,-0.4826119260775478,0.40679743498911225,-0.1678265641044619,0.23975040402232978,0.5030762079917019
zbruh_rl,Premier,57.4%,54,0.2841317339856979,0.16050162500276385,0.4759644800058911,0.03354831478858224,0.5029576669987651
carbon,Premier,31.9%,47,-0.11478973158180424,-0.6171632314267498,0.17171062301515091,-0.2047858832410231,0.48988815527304097
joebrothehobo,RisingStar,51.0%,51,0.6783289230843474,0.6928448139454513,1.1931533895222044,-0.3354435867562906,0.486910592635828
TourneyEarnie,Prospect,40.7%,27,-0.8309323407326739,-0.1772222687341587,-1.3966597727247982,-0.5228887506950821,0.4743385581611359
AMR,RisingStar,53.2%,47,-0.2582348436872142,0.0960814898364452,-0.8474108138659121,-1.0792416923313792,0.4728380777088898
DeCarlo,Challenger,62.3%,61,0.2191912244958579,0.8991197124834746,-0.034834625119497545,-0.4333240322919858,0.44385681963547663
zzilmy,RisingStar,54.8%,62,0.6257114963545163,0.21172711175662307,1.1947955198202203,-0.3930136129245582,0.4353783160012316
Derreck,Prospect,41.7%,36,-0.3494716806329283,0.5086161049724189,-0.10986687650945,-1.1336615289987684,0.42576867645376165
renbo,Challenger,57.1%,14,-0.8295300264009601,1.7005740870064963,0.07067580232283947,0.43891943255657706,0.42484373426528477
wsly,Premier,59.6%,47,0.24233966595660292,-0.3813947869013132,-0.030092981943425592,1.2292735251091653,0.4135131835727186
tjack,Challenger,44.0%,25,0.0811290853035676,0.06235356471760144,0.7475716540132641,-0.37426837184721656,0.4116041914143839
Fyre,Prospect,52.4%,21,1.187794640486234,0.8038938748492501,1.6452901849469277,0.5513505682466783,0.4025607395401333
cl0wdy.,Challenger,55.6%,9,0.49213500071637467,0.3724814216887746,0.5902072574426726,0.8403042941050072,0.39151996941231837
peydirt,RisingStar,59.5%,42,-0.446950374756389,-0.09132000235778696,-0.2267188736998832,0.16026703306733736,0.3851030471242338
tjack,RisingStar,49.1%,55,1.4600184329786858,0.11142742314087632,1.0956882922425992,0.33184476592222467,0.3666495709595069
Goosy,Challenger,18.2%,11,-0.2765034008988083,-0.7953980123087563,-0.9133924001965582,-0.42131462276430276,0.35222584988727335
Chiefu,RisingStar,44.8%,29,0.9583768586132826,0.20179590576227563,0.2591012752552409,-0.7151273746183686,0.32407947661591346
Berf,Premier,27.0%,37,-0.7244023430049984,-0.2039061320776068,-0.34997598667873364,-0.07145414742581785,0.29630095902429193
Raider,Challenger,55.3%,47,0.055733363381382406,0.06597094626722957,0.20442659913318942,0.278732711028726,0.27299376569351586
ryker,Premier,46.8%,62,0.3683898830333791,0.7300461312799954,-0.024068454251603137,1.2917976349717237,0.26095632365518795
Stewy,Challenger,60.3%,63,1.0541230409825764,-0.211235380284648,1.7949573895027744,0.8783190540166063,0.25899691880289377
Purg,Premier,53.3%,60,0.965137075988288,0.6886668388284825,0.6033941593571702,0.743393814738371,0.25717568300160626
Toast,Premier,50.0%,40,-0.40687278552854533,0.054392141310875164,-0.7693453908024778,0.24907829423013478,0.23938567197258864
Dicey,Challenger,58.1%,62,0.3508840627927421,0.14569580654455777,0.3671038802128602,0.28953364097988177,0.22312957290950364
Rumba,Prospect,55.6%,27,0.12484431825473431,-0.5663429727891082,0.48856339014578887,-0.4315814396514141,0.20919836071950523
Tibbles,Challenger,46.7%,30,-1.006587933945446,-0.7012867282152137,-1.0994527652742414,-0.006629783936999897,0.17523038166222887
Mjck,Challenger,14.3%,7,-1.6931901802870961,-1.3181967410984807,-0.5433409094216428,0.30884175569700456,0.16456439427394826
SlowHandsMcGee,Challenger,61.0%,59,0.4446297091816909,0.05893629270553415,0.462349540561357,0.3203621877007978,0.160290105518885
Mexi,Premier,58.6%,58,0.24328345490180103,-0.08542322956881447,-0.012682220739520857,0.6132761725281812,0.11519934597976736
Doty,RisingStar,38.2%,34,0.11533246028083154,-0.013000087957221476,-0.6599441262480888,-0.4450728253771171,0.11063580373447544
Annexed,Prospect,48.3%,29,-0.8541641104774479,-0.801809909282079,-0.5542440352641943,-0.015580312318980015,0.11045868907390875
Kharon,Premier,25.0%,4,-1.3731818787247525,2.0074021528740844,0.7557990926286333,0.1153604801814882,0.10182683289757676
lawzey,Challenger,57.9%,57,0.6174478027392087,0.4770096896826354,0.9272518124312024,0.85094085361091,0.10147789192525913
Luvmuhpankakes,Prospect,52.4%,21,-0.3171455049845364,-0.2635090415004828,-0.7104420510205026,-0.5141182295816394,0.08356106948655655
Saber,Challenger,36.8%,19,0.5369863364506378,-0.9036585974060182,0.3587874754734042,0.4021169886186699,0.07929582620048586
kuro.,Challenger,43.5%,23,-0.39299905437862964,-0.4909484196506232,-0.4835644545190116,-1.012579163935642,0.06920401545637707
SEER,Prospect,49.1%,53,0.9286959152850954,-0.28214532509113177,0.981187214535481,0.05597658307309333,0.06724200878631123
mako,Premier,49.3%,69,-0.23419852585687495,0.39468540175081124,-0.6256782992184033,0.0411361016096085,0.06578552694646721
Tero,Premier,49.3%,69,0.42495447180968754,-0.22835856279711933,0.8936826190332221,-0.5004311441490367,0.06578552694646721
Chikn,Premier,57.4%,54,0.7378737504746561,0.46422369368215716,1.3739251363477734,1.4134417528117331,0.04621346724515716
